a	a!
abuh	a! b u h
abulois	a! b u l o j s
abuniekannu	a! b u n' i e k a n u
abuniekannu	a! b u n' i e k a n n u
abuniekku	a! b u n' i e k u
abuniekku	a! b u n' i e k k u
abuniekkua	a! b u n' i e k u a
abuniekkua	a! b u n' i e k k u a
abuu	a! b u:
ad'voih	a! d' v o j h
aerodrom	a! e r o d r o m
afinas	a! f' i n a s
agjas	a! g j a s
agjembah	a! g j e m b a h
aha	a! h a
ahavas	a! h a v a s
ahavu	a! h a v u
ahkerasti	a! h k' e r a s t' i
ahnahat	a! h n a h a t
ahole	a! h o l' e
ahven	a! h v' e n
ahvendu	a! h v' e n d u
aidah	a! j d a h
aidoi	a! j d o j
aiduveriällöy	a! j d u v' e r' i ae l' oe y
aiduveriällöy	a! j d u v' e r' i ae l' l' oe y
aiduviereh	a! j d u v' i e r' e h
aiga	a! j g a
aigah	a! j g a h
aigassah	a! j g a s a h
aigassah	a! j g a s s a h
aigoinah	a! j g o j n a h
aigu	a! j g u
aigua	a! j g u a
aijakse	a! j a k s' e
aijal	a! j a l
aijalleh	a! j a l' e h
aijalleh	a! j a l' l' e h
aijanke	a! j a n k' e
aijas	a! j a s
aijat	a! j a t
aijoi	a! j o j
aijoile	a! j o j l' e
aijoinjogi	a! j o j n j o g' i
aijois	a! j o j s
aijy	a! j y
ailguvälil	a! j l g u v' ae l' i l
ainavo	a! j n a v o
aineh	a! j n' e h
ainehii	a! j n' e h' i:
ainos	a! j n o s
airolaba	a! j r o l a b a
airoloih	a! j r o l o j h
airoloin	a! j r o l o j n
airovičču	a! j r o v' i ch u
airovičču	a! j r o v' i ch ch u
aivan	a! j v a n
aivei	a! j v' e j
aiven	a! j v' e n
aižoih	a! j zh o j h
ajaa	a! j a:
ajai	a! j a j
ajajien	a! j a j i e n
ajammo	a! j a m o
ajammo	a! j a m m o
ajan	a! j a n
ajat	a! j a t
ajattelen	a! j a t' e l' e n
ajattelen	a! j a t' t' e l' e n
ajattelet	a! j a t' e l' e t
ajattelet	a! j a t' t' e l' e t
ajattelin	a! j a t' e l' i n
ajattelin	a! j a t' t' e l' i n
ajau	a! j a u
ajelemah	a! j e l' e m a h
ajelen	a! j e l' e n
ajeletto	a! j e l' e t o
ajeletto	a! j e l' e t t o
ajeli	a! j e l' i
ajeliimmo	a! j e l' i: m o
ajeliimmo	a! j e l' i: m m o
ajelimmo	a! j e l' i m o
ajelimmo	a! j e l' i m m o
ajelin	a! j e l' i n
ajellah	a! j e l a h
ajellah	a! j e l l a h
ajelou	a! j e l o u
ajeltau	a! j e l t a u
ajeltih	a! j e l t' i h
ajelutin	a! j e l u t' i n
ajetah	a! j e t a h
ajettih	a! j e t' i h
ajettih	a! j e t' t' i h
ajo	a! j o
ajoi	a! j o j
ajoimmo	a! j o j m o
ajoimmo	a! j o j m m o
ajou	a! j o u
ajua	a! j u a
akan	a! k a n
akat	a! k a t
akilan	a! k' i l a n
akimov	a k' i! m o v
akkazet	a! k a z' e t
akkazet	a! k k a z' e t
akkažet	a! k a zh e t
akkažet	a! k k a zh e t
akkoinke	a! k o j n k' e
